Country,Total Library Size,No. of TV Shows,No. of Movies,Cost Per Month - Basic ($),Cost Per Month - Standard ($),Cost Per Month - Premium ($),Assinaturas Por País,Custo Médio Por Mês ($)
Argentina,4760,3154,1606,3.74,6.3,9.26,4760,6.433333333333333
Austria,5640,3779,1861,9.03,14.67,20.32,5640,14.673333333333332
Bolivia,4991,3155,1836,7.99,10.99,13.99,4991,10.99
Bulgaria,6797,4819,1978,9.03,11.29,13.54,6797,11.286666666666667
Chile,4994,3156,1838,7.07,9.91,12.74,4994,9.906666666666666
Colombia,4991,3156,1835,4.31,6.86,9.93,4991,7.033333333333334
Costa Rica,4988,3152,1836,8.99,12.99,15.99,4988,12.656666666666666
Croatia,2274,1675,599,9.03,11.29,13.54,2274,11.286666666666667
Czechia,7325,5234,2091,8.83,11.49,14.15,7325,11.49
Ecuador,4992,3155,1837,7.99,10.99,13.99,4992,10.99
Estonia,6456,4486,1970,9.03,11.29,13.54,6456,11.286666666666667
France,5445,3604,1841,10.16,15.24,20.32,5445,15.24
Germany,5668,3814,1854,9.03,14.67,20.32,5668,14.673333333333332
Gibraltar,6167,4079,2088,9.03,14.67,20.32,6167,14.673333333333332
Greece,4772,3344,1428,9.03,12.42,15.8,4772,12.416666666666666
Guatemala,4767,3154,1613,7.99,10.99,13.99,4767,10.99
Honduras,4989,3154,1835,7.99,10.99,13.99,4989,10.99
Hong Kong,4746,2883,1863,8.08,10.0,11.93,4746,10.003333333333332
Iceland,6387,4426,1961,9.03,14.67,20.32,6387,14.673333333333332
India,5843,3718,2125,2.64,6.61,8.6,5843,5.95
Israel,5713,3650,2063,10.56,15.05,19.54,5713,15.049999999999999
Italy,5183,3545,1638,9.03,14.67,20.32,5183,14.673333333333332
Japan,5475,3619,1856,8.73,13.13,17.45,5475,13.103333333333333
Liechtenstein,3048,1712,1336,12.88,20.46,26.96,3048,20.1
Malaysia,5952,3565,2387,8.29,10.65,13.02,5952,10.653333333333332
Mexico,4993,3158,1835,6.62,10.43,14.24,4993,10.43
Moldova,3937,2473,1464,9.03,11.29,13.54,3937,11.286666666666667
Monaco,5804,3806,1998,9.03,13.54,18.06,5804,13.543333333333331
Norway,4528,2955,1573,9.94,12.17,17.75,4528,13.286666666666667
Paraguay,4797,3155,1642,8.29,11.49,14.69,4797,11.49
Peru,4986,3155,1831,6.11,8.56,11.01,4986,8.56
Philippines,6362,4154,2208,7.35,9.14,10.93,6362,9.14
Poland,5109,3512,1597,7.13,10.58,14.76,5109,10.823333333333332
Romania,5303,3832,1471,9.03,11.29,13.54,5303,11.286666666666667
Russia,5711,3624,2087,8.13,10.84,13.56,5711,10.843333333333334
San Marino,2310,1937,373,9.03,14.67,20.32,2310,14.673333333333332
Slovakia,7035,5055,1980,9.03,11.29,13.54,7035,11.286666666666667
South Africa,5736,3686,2050,6.26,10.05,12.58,5736,9.63
South Korea,5195,3334,1861,8.07,11.47,14.45,5195,11.329999999999998
Taiwan,5105,3134,1971,9.74,11.9,14.07,5105,11.903333333333334
Thailand,4948,2977,1971,8.34,10.43,12.52,4948,10.43
Turkey,4639,2930,1709,1.97,3.0,4.02,4639,2.996666666666666
Ukraine,5336,3261,2075,5.64,8.46,11.29,5336,8.463333333333333
Uruguay,4989,3154,1835,8.99,12.99,15.99,4989,12.656666666666666
Venezuela,4797,3154,1643,7.99,10.99,13.99,4797,10.99
Belgium,4990,3374,1616,10.16,15.24,20.32,4990,15.24
Singapore,6303,4109,2194,9.51,12.81,16.11,6303,12.81
Finland,4045,2638,1407,9.03,13.54,18.06,4045,13.543333333333331
Latvia,6450,4479,1971,9.03,11.29,13.54,6450,11.286666666666667
New Zealand,6084,4003,2081,8.8,12.53,16.94,6084,12.756666666666666
Hungary,6884,4802,2082,7.64,10.71,13.78,6884,10.71
Portugal,5047,3419,1628,9.03,13.54,18.06,5047,13.543333333333331
Netherlands,5376,3779,1597,9.03,13.54,18.06,5376,13.543333333333331
Sweden,4361,2973,1388,10.9,14.2,19.7,4361,14.933333333333332
Canada,6239,4311,1928,7.91,11.87,15.03,6239,11.603333333333333
Lithuania,6462,4490,1972,9.03,11.29,13.54,6462,11.286666666666667
Spain,5229,3536,1693,9.03,14.67,20.32,5229,14.673333333333332
United Kingdom,6643,4551,2092,7.91,13.2,18.48,6643,13.196666666666667
Indonesia,3887,2449,1438,8.36,10.66,12.96,3887,10.66
Brazil,4972,3162,1810,4.61,7.11,9.96,4972,7.226666666666667
Ireland,6486,4515,1971,9.03,14.67,20.32,6486,14.673333333333332
Switzerland,5506,3654,1852,12.88,20.46,26.96,5506,20.1
Australia,6114,4050,2064,7.84,12.12,16.39,6114,12.116666666666667
Denmark,4558,2978,1580,12.0,15.04,19.6,4558,15.546666666666667
United States,5818,3826,1992,8.99,13.99,17.99,5818,13.656666666666666
